number,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z
0,0.7601467757156177,1.0,0.9301236387325273,0.43411291874486313,0.9367454091263662,0.6174286604134482,0.22536757517669326,0.7520761378416998,0.6342555681439743,0.11692085472549309,0.5673691593830824,0.6533808717649192,0.0,0.44725083951393235,0.6956090652414745,0.42674304512335837,0.5400495052849024,0.9820404519199938,0.31171854867572224,0.32291299614045904,0.8792781924651791,0.2536392685159564,0.1917254530582484,0.8078571694228972,0.2099107522049886,0.07949856919422693,0.7750047639954972,0.6294126427824697,0.5299610214691945,1.0,0.6187366672344694,0.2946958810558452,0.8522078637357137,0.633982298429396,0.1306355463512411,0.6997522797009275,0.6558254887920627,0.0,0.5756971873419865,0.8061989154197488,0.5691259708967159,0.9355118420260661,0.8390348689955827,0.44524469687414586,0.41575411291611264,0.8023090814776334,0.5957059997860572,0.11517521830209954,0.7579893823462687,0.7297483489752571,0.0940897940182077,0.9810256264007192,0.6311674796393864,0.8895114773034862,1.0,0.5516404284220546,0.33158600359813917,0.9592340778228852,0.6662828398986665,0.06322879508288912,0.9004880790977435,0.7749879846191026,0.0
1,0.7888763601235576,1.0,0.7860742835243023,0.43960974378069545,0.9671317812196076,0.6412002175696027,0.22831101012951302,0.7858783113258283,0.6925079150943595,0.12010399668449041,0.6115850630924956,0.7239739545882585,0.0,0.49582920295190624,0.7870767714797623,0.42834625432708945,0.5770521099466012,1.0,0.28571772103052834,0.37252779614885745,0.9816178608039495,0.20049101404470002,0.24937614890907014,0.9355668617969898,0.13999254536375355,0.14268719164702798,0.9025925007142326,0.6255950276373875,0.5533484160991394,0.9279995081428472,0.5568617033468085,0.316527427384602,0.8098328015066687,0.5056689427604923,0.14425131691336715,0.6794050056327049,0.48445366421297414,0.0,0.5677442746005863,0.8080938412455555,0.5794596680388516,0.7842371262980451,0.7596210459711336,0.4342941796482049,0.3296730705589603,0.7136048238710678,0.5959897022988976,0.11281141048273235,0.6912003354586311,0.7301101852931764,0.13087094948550845,1.0,0.6256649059848022,0.6624889729983757,0.9225732322198096,0.5309451729288477,0.19318437741992311,0.876755775370468,0.6538833822416658,0.014816035940098195,0.8493066324094068,0.765491730705965,0.0
2,0.7932541478965313,1.0,0.9990673994195841,0.49442158963920185,0.9595812877013615,0.6914222961861101,0.27237972603780514,0.7734935789778818,0.6271882013047735,0.14697292985060925,0.588521577487082,0.5937886944522691,0.0,0.45002976998430977,0.5719707202940545,0.43133929334595406,0.5541720769510383,0.600306624792234,0.31936785138801393,0.29881499818251256,0.4095647332275765,0.24925565794930402,0.15020783774208243,0.30792485719259,0.19084439491837168,0.01914297414566587,0.24834233309667086,0.6319321552600171,0.5447145164333074,0.6379066846991394,0.6293528774894502,0.28555460974633395,0.3704329907492976,0.669345532997977,0.1362948102681139,0.15069469497171856,0.6920216504212002,0.0,0.0,0.7966462266092192,0.5792870847961423,0.6551468048643748,0.8826986574142958,0.554501893407812,0.26172543144228483,0.8779789510673256,0.7327091605968721,0.2257602164336008,0.846860229895246,0.8510832685326204,0.2670053795412701,0.9377055745323427,0.6430368144736418,0.6571254555478132,1.0,0.5997675456557449,0.3719839261700928,0.9888245806200398,0.7160355767416822,0.3593934549372131,0.9541713229265266,0.8122852949160965,0.40029858732817947
3,0.787118848506531,1.0,0.998795962355198,0.5449819444511836,0.9625768843182697,0.6576975796364243,0.32960178618154345,0.7735962035971865,0.6488457838313778,0.17067295544712113,0.6136469781504716,0.5849157557244045,0.0,0.5174243614195012,0.49898852605168154,0.5205795858981507,0.5249928401165093,0.8805259246820184,0.45235135164242,0.29283898042354745,0.6734290001545148,0.4103425696147238,0.14491858532797863,0.5613251205460503,0.3722239586298162,0.016663494858533873,0.4943863080901974,0.689184197841429,0.5323295799359802,0.8929691542983312,0.7172325784043257,0.29832384400310935,0.6422727743740926,0.7516525031429898,0.13536947400983487,0.45215506722619003,0.7926958136192556,0.0,0.37133686550837813,0.8320995503184293,0.5843675057554611,0.8477824255692521,0.8787326073400691,0.537739382727891,0.19278607613408938,0.8328917624495,0.7031309674527269,0.0,0.790972213757153,0.8313733405447458,0.10598740152748891,0.9728051351062522,0.6491302698621838,0.7953118983427677,1.0,0.5961661798360385,0.24099261640113018,0.9543028278801391,0.7117757319317013,0.16269761949142567,0.9081450507985023,0.8142246636069975,0.2724091643203312
4,0.5249900909744923,1.0,0.9998055050663629,0.3092067615785046,0.8887514528117579,0.7711811774659821,0.2065688150690916,0.6857699612777518,0.6790868100802647,0.14242924421115222,0.5175333369556994,0.5634279341915166,0.0,0.39183667730923966,0.4233618537956574,0.5364678168781132,0.5094008754409861,0.7076942934999768,0.544275158125816,0.2767917906045005,0.4686006340173429,0.5455454269548288,0.13441883121765835,0.3065866750344493,0.5526377143490709,0.0,0.20990105339782353,0.7246339147988429,0.5586039961996271,0.676947042011084,0.8275718406108097,0.3254229770213883,0.39129160852615547,0.9173295313442492,0.1692549970357483,0.17228573590460566,0.9988400425092622,0.03458088120181579,0.0,0.8579212475536984,0.6483600044920412,0.6205684740955825,0.9003269521132008,0.58619317309991,0.1881212992641571,0.7924092573162518,0.7241974840996663,0.10772771607482205,0.7016047344951012,0.8302868101488556,0.14806746909170512,0.9683386760697702,0.7587647094039408,0.5592416656500296,1.0,0.7123091321826924,0.17112560636582708,0.8918650594042034,0.7965780625554195,0.12021383973794435,0.8031432259059424,0.8637287779717581,0.1548941615091304
5,0.6187113153209846,1.0,0.9997432726472723,0.38422586851817914,0.924870176829384,0.7500260895623173,0.23107765399401317,0.714220670926989,0.6700196398671129,0.14823452707447732,0.5385422486659259,0.5916474225854838,0.0,0.4249752265975682,0.4994444054043357,0.46441725850948057,0.49641286403724233,0.6001898560873895,0.39295281313877534,0.28192543100449297,0.3506211415920126,0.361570682439771,0.150143659379421,0.17383968085114976,0.3395409927173194,0.020175564359191142,0.05265277538825388,0.6637573247137016,0.5165279707526265,0.5919701900499417,0.7142565594672955,0.30137887703748056,0.3268481385541536,0.7611139133203693,0.14037750975650382,0.13598202970333018,0.8092695640609364,0.0,0.0,0.8346116273122957,0.5882179279315368,0.5666761574517202,0.864017254400775,0.5583561213496128,0.18476119165489405,0.7932456124701376,0.7024676417196747,0.11176090006566816,0.7269346191419185,0.8090652731715647,0.13572194180654468,0.9898725814726573,0.67903137050679,0.527583250339447,1.0,0.6486182766567081,0.18870580424104816,0.9225041370880415,0.7528274358579714,0.12474922114983082,0.8562950504695007,0.8400089395086222,0.15318458244180533
6,0.7267081707815388,1.0,0.9991988781613464,0.4695953331956675,0.952024356227806,0.5454219871797545,0.28430060423622244,0.7523676940801147,0.4734987674815331,0.1720414169789132,0.5807068632513586,0.42247048966099404,0.0,0.47194588919708297,0.397635114215303,0.45851446889229425,0.5747731267845305,0.5099215089632311,0.40237409555737985,0.34127910123774097,0.27395133260544746,0.3531515987146548,0.19036048416358786,0.1869494534278708,0.3019985238539741,0.05642037187318906,0.14942605996106892,0.6486324426713325,0.5703654278005693,0.6022925356833587,0.7141936055456198,0.31877560532625776,0.31671714062132533,0.756726620922534,0.15000638364447855,0.15940082886586163,0.8090863491526645,0.0,0.06397858501168992,0.8043756175171575,0.620341440253101,0.6378068101498048,0.8903872306294573,0.5325083922113912,0.0678586198809095,0.8339224555092889,0.687457589583868,0.0,0.7847289291271369,0.8106592524460746,0.1305862379519435,0.9529954277202167,0.6850457313862566,0.6593213400072959,1.0,0.6096377732832713,0.1776609677459719,0.9488405246887276,0.7141477409273524,0.17891121278982952,0.8926486108832589,0.8070083978026542,0.28078392537961344
7,0.720909725229336,1.0,0.9993417838228301,0.4803212227054382,0.9117807200377304,0.7176943683684163,0.28288446315057697,0.7070825282656297,0.6452633918091206,0.14748275693911517,0.560083553446938,0.5712265365212869,0.0,0.45586249229065995,0.5130031566809471,0.480397854457603,0.5095724549230354,0.5582370869846167,0.3868304850643248,0.29435927923668465,0.33627520998849164,0.345002748109964,0.1557371533430156,0.23310419143928982,0.3121966583422829,0.027773080330445427,0.1447363220055415,0.6801482329414603,0.5308230239805825,0.5390648653235884,0.7164922163772688,0.29561574074615876,0.26375251598706384,0.7534305542162313,0.14281983959891537,0.11820842878157442,0.7914347700625777,0.0,0.0,0.8474181149395618,0.5957911099460141,0.5077871809653315,0.8597972595165453,0.538947966197104,0.07508214015062699,0.7912672068532985,0.6984906370284721,0.01944246845904638,0.7404332223945113,0.8081111619540705,0.07357109573423752,1.0,0.6740397409895809,0.46240877665260344,0.9837885344965716,0.6412074611197648,0.11810103844191634,0.9155734420013134,0.7573746347206439,0.1409865856998287,0.8585432853902114,0.8447202870039544,0.23184575517014355
8,0.6720329709058651,1.0,0.9996477399640591,0.3743164491051594,0.9521120705209343,0.7915613429634349,0.20523303989842112,0.7483091221777803,0.7065264920753999,0.1317822784629212,0.5548504283151735,0.644722273396792,0.0,0.4231715591633837,0.5886040256129862,0.373932507479878,0.5430121465303336,0.5547987487274434,0.3411045240471865,0.3192557699360882,0.29784975859956114,0.3289174632697469,0.1815301692028089,0.12268278798411981,0.32688146825514125,0.04726902284521614,0.011432304978007277,0.5947486400443319,0.5428304560122207,0.5333214055673049,0.630949917705913,0.3167629897963592,0.319767149403157,0.6571005001310664,0.15341340375758022,0.15137526256980902,0.6989917147216277,0.0,0.0,0.8017289066791226,0.5956309712399457,0.530903215997758,0.8221482995641191,0.6175913711977444,0.21346958673188143,0.7641292629457678,0.7555015883147582,0.17448140576368648,0.7177311193782354,0.8353729007129301,0.18535072340452247,1.0,0.6648109985468774,0.5129909629868221,0.9578713392773907,0.7136380735205776,0.24644808914693214,0.8842364027982913,0.8302984170665397,0.23669202966874855,0.8295965072356105,0.9044046267917843,0.28771614749898006
9,0.7268084879174385,1.0,0.9997649736188596,0.5036229285465355,0.9500638254194524,0.7074254411608193,0.31659103716440234,0.7745157759812814,0.6213719558970489,0.17895207742421476,0.6200066400473906,0.5007378135673106,0.0,0.5327128929263614,0.3842879435623762,0.4631921109614315,0.5456018788555452,0.5966331208905733,0.40627394162590563,0.320968500736226,0.30829798379795686,0.3773283219919144,0.17999930054334848,0.16271781602761065,0.3625562170481333,0.039220175300125594,0.09198460515640182,0.64492053310321,0.5481665732061631,0.5822066403221058,0.6829304369723281,0.3110302876707111,0.29597678748398387,0.7253030651775026,0.14382277972217677,0.12269053157684498,0.7865858348551832,0.0,0.0020050754054311815,0.8014720875546477,0.5994904027121671,0.552324465195739,0.8696989659598694,0.5922125802069578,0.03549342146183287,0.8108700122589784,0.722557764459889,0.0,0.7577839461499665,0.7932164202718827,0.09602143225398037,0.9615424522141562,0.6597342208448143,0.5029833556557183,1.0,0.6383460580946657,0.14476764677832005,0.9447409415963225,0.7276964952191419,0.1315545225981321,0.898229555321616,0.7854724530256171,0.20630493345441328
